Capas ocultas,Neuronas por capa,Learning rate,Epochs,Momentum,Validation loss,Entrenamieto loss,Entrenamieto accuracy,Validation accuracy,Test loss,Test accuracy
7,48,0.1,300,0.25,0.16150487959384918,0.27750256657600403,0.9375,0.9583333134651184,0.21622927486896515,1.0
7,48,0.1,300,0.5,0.031227951869368553,0.04820889234542847,0.9791666865348816,1.0,0.06149035692214966,0.9666666388511658
10,48,0.01,300,0.1,0.0672476664185524,0.14778544008731842,0.9479166865348816,1.0,0.24755102396011353,0.8999999761581421
10,48,0.01,300,0.25,0.05066478252410889,0.0775010883808136,0.9895833134651184,1.0,0.06492003053426743,0.9666666388511658
10,48,0.01,300,0.5,0.07487823814153671,0.061945218592882156,0.9791666865348816,0.9583333134651184,0.03737489506602287,1.0
10,48,0.05,300,0.1,0.11385234445333481,0.09319239854812622,0.9479166865348816,0.9166666865348816,0.017136069014668465,1.0
10,48,0.05,300,0.25,0.20108307898044586,0.1615680307149887,0.9270833134651184,0.875,0.03548826277256012,1.0
10,48,0.05,300,0.5,0.03722107782959938,0.055624280124902725,0.9791666865348816,1.0,0.04999232292175293,0.9666666388511658
10,48,0.1,300,0.1,0.25370457768440247,0.36843419075012207,0.9479166865348816,0.9583333134651184,0.3207000195980072,1.0
10,48,0.1,300,0.25,0.27767258882522583,0.4102890193462372,0.7604166865348816,0.875,0.3095545470714569,0.8333333134651184
10,48,0.1,300,0.5,1.1360650062561035,1.0943115949630737,0.3645833432674408,0.25,1.1050583124160767,0.30000001192092896
